Sales Order #,Customer,Order Date,Promise Date,days_past_prom_dt
267664,AMAZ,08/30/2022,09/13/2022,0
268088,WEB,09/06/2022,09/13/2022,0
268091,WEB,09/06/2022,09/13/2022,0
268092,WEB,09/06/2022,09/13/2022,0
268096,WEB,09/06/2022,09/13/2022,0
268097,WEB,09/06/2022,09/13/2022,0
268121,WEB,09/06/2022,09/13/2022,0
268123,WEB,09/06/2022,09/13/2022,0
268133,WEB,09/06/2022,09/13/2022,0
268161,WEB,09/06/2022,09/13/2022,0
268162,WEB,09/06/2022,09/13/2022,0
268166,WEB,09/06/2022,09/13/2022,0
268168,WEB,09/06/2022,09/13/2022,0
268169,WEB,09/06/2022,09/13/2022,0
268176,WEB,09/06/2022,09/13/2022,0
268177,WEB,09/06/2022,09/13/2022,0
