Sales Order #,Customer,Order Date,Promise Date,Item,Order Quantity,QOH,Remaining QOH,ord_dt_prom_dt_diff,days_elapsed_since_ordered,days_past_prom_dt,edw_load_dtm
267804,UNIHE,08/31/2022,09/12/2022,RDWV7,20,20,0,12,12,0,09/12/2022 17:02:52
267804,UNIHE,08/31/2022,09/12/2022,RDWV10,20,20,0,12,12,0,09/12/2022 17:02:52
267887,AUEST,09/01/2022,09/12/2022,BK4BK,300,300,0,11,11,0,09/12/2022 17:02:51
267950,JOHSUP,09/02/2022,09/12/2022,WVE4WH,480,480,0,10,10,0,09/12/2022 17:02:52
267950,JOHSUP,09/02/2022,09/12/2022,DWV4,324,549,225,10,10,0,09/12/2022 17:02:51
267954,SLABRS,09/02/2022,09/12/2022,SWV6,36,36,0,10,10,0,09/12/2022 17:02:52
267954,SLABRS,09/02/2022,09/12/2022,SWV4SR.875,24,24,0,10,10,0,09/12/2022 17:02:52
267954,SLABRS,09/02/2022,09/12/2022,SWV4,48,48,0,10,10,0,09/12/2022 17:02:52
267954,SLABRS,09/02/2022,09/12/2022,DWV4SR.875,12,62,50,10,10,0,09/12/2022 17:02:51
267954,SLABRS,09/02/2022,09/12/2022,DWV4,24,225,201,10,10,0,09/12/2022 17:02:51
267954,SLABRS,09/02/2022,09/12/2022,DWV6,12,36,24,10,10,0,09/12/2022 17:02:51
267961,SLABRS,09/02/2022,09/12/2022,LH6WH,24,1444,1420,10,10,0,09/12/2022 17:02:52
267961,SLABRS,09/02/2022,09/12/2022,DWV6,24,24,0,10,10,0,09/12/2022 17:02:51
267961,SLABRS,09/02/2022,09/12/2022,DWV5,6,6,0,10,10,0,09/12/2022 17:02:51
267961,SLABRS,09/02/2022,09/12/2022,DWV4,48,201,153,10,10,0,09/12/2022 17:02:51
267961,SLABRS,09/02/2022,09/12/2022,BK6XBK,24,44,20,10,10,0,09/12/2022 17:02:51
267961,SLABRS,09/02/2022,09/12/2022,BK4XBK,48,106,58,10,10,0,09/12/2022 17:02:51
