Sales Order #,Customer,Order Date,Promise Date,days_past_prom_dt
265048,TSP,07/21/2022,08/05/2022,11
265052,TSP,07/21/2022,08/05/2022,11
265594,GENS,07/29/2022,08/12/2022,4
266013,JOHSUPDC,08/05/2022,08/12/2022,4
265265,WINWHO,07/25/2022,08/15/2022,1
266058,MUSSA,08/05/2022,08/15/2022,1
266061,MUSSA,08/05/2022,08/15/2022,1
264885,ECCO,07/19/2022,08/16/2022,0
265778,WINWHO,08/02/2022,08/16/2022,0
265786,DAKSU,08/02/2022,08/16/2022,0
265798,MUSSA,08/02/2022,08/16/2022,0
265892,MUSSA,08/03/2022,08/16/2022,0
266173,KUHSUP,08/08/2022,08/16/2022,0
266175,AUEST,08/08/2022,08/16/2022,0
266253,ROBLL,08/09/2022,08/16/2022,0
